Designator,Mid X,Mid Y,Rotation,Layer
D1,240.919,-64.3245,90.0,bottom
D10,69.469,-64.3245,90.0,bottom
D11,240.919,-83.3745,90.0,bottom
D12,221.869,-83.3745,90.0,bottom
D13,202.819,-83.3745,90.0,bottom
D14,183.769,-83.3745,90.0,bottom
D15,164.719,-83.3745,90.0,bottom
D16,145.669,-83.3745,90.0,bottom
D17,126.619,-83.3745,90.0,bottom
D18,107.569,-83.3745,90.0,bottom
D19,88.519,-83.3745,90.0,bottom
D2,221.869,-64.3245,90.0,bottom
D20,69.469,-83.3745,90.0,bottom
D21,231.394,-102.4245,90.0,bottom
D22,212.344,-102.4245,90.0,bottom
D23,193.294,-102.4245,90.0,bottom
D24,174.244,-102.4245,90.0,bottom
D25,155.194,-102.4245,90.0,bottom
D26,136.144,-102.4245,90.0,bottom
D27,117.094,-102.4245,90.0,bottom
D28,98.044,-102.4245,90.0,bottom
D29,78.994,-102.4245,90.0,bottom
D3,202.819,-64.3245,90.0,bottom
D30,240.919,-121.4745,90.0,bottom
D31,221.869,-121.4745,90.0,bottom
D32,202.819,-121.4745,90.0,bottom
D33,183.769,-121.4745,90.0,bottom
D34,164.719,-121.4745,90.0,bottom
D35,145.669,-121.4745,90.0,bottom
D36,126.619,-121.4745,90.0,bottom
D37,107.569,-121.4745,90.0,bottom
D38,88.519,-121.4745,90.0,bottom
D39,69.469,-121.4745,90.0,bottom
D4,183.769,-64.3245,90.0,bottom
D40,240.919,-140.5245,90.0,bottom
D41,221.869,-140.5245,90.0,bottom
D42,202.819,-140.5245,90.0,bottom
D43,179.0065,-140.5245,90.0,bottom
D44,155.194,-140.5245,90.0,bottom
D45,131.3815,-140.5245,90.0,bottom
D46,107.569,-140.5245,90.0,bottom
D47,88.519,-140.5245,90.0,bottom
D48,69.469,-140.5245,90.0,bottom
D5,164.719,-64.3245,90.0,bottom
D6,145.669,-64.3245,90.0,bottom
D7,126.619,-64.3245,90.0,bottom
D8,107.569,-64.3245,90.0,bottom
D9,88.519,-64.3245,90.0,bottom
MX1,240.919,-57.912,0.0,bottom
MX10,69.469,-57.912,0.0,bottom
MX11,240.919,-76.962,0.0,bottom
MX12,221.869,-76.962,0.0,bottom
MX13,202.819,-76.962,0.0,bottom
MX14,183.769,-76.962,0.0,bottom
MX15,164.719,-76.962,0.0,bottom
MX16,145.669,-76.962,0.0,bottom
MX17,126.619,-76.962,0.0,bottom
MX18,107.569,-76.962,0.0,bottom
MX19,88.519,-76.962,0.0,bottom
MX2,221.869,-57.912,0.0,bottom
MX20,69.469,-76.962,0.0,bottom
MX21,231.394,-96.012,0.0,bottom
MX22,212.344,-96.012,0.0,bottom
MX23,193.294,-96.012,0.0,bottom
MX24,174.244,-96.012,0.0,bottom
MX25,155.194,-96.012,0.0,bottom
MX26,136.144,-96.012,0.0,bottom
MX27,117.094,-96.012,0.0,bottom
MX28,98.044,-96.012,0.0,bottom
MX29,78.994,-96.012,0.0,bottom
MX3,202.819,-57.912,0.0,bottom
MX30,240.919,-115.062,0.0,bottom
MX31,221.869,-115.062,0.0,bottom
MX32,202.819,-115.062,0.0,bottom
MX33,183.769,-115.062,0.0,bottom
MX34,164.719,-115.062,0.0,bottom
MX35,145.669,-115.062,0.0,bottom
MX36,126.619,-115.062,0.0,bottom
MX37,107.569,-115.062,0.0,bottom
MX38,88.519,-115.062,0.0,bottom
MX39,69.469,-115.062,0.0,bottom
MX4,183.769,-57.912,0.0,bottom
MX40,240.919,-134.112,0.0,bottom
MX41,221.869,-134.112,0.0,bottom
MX42,202.819,-134.112,0.0,bottom
MX43,179.244,-134.112,0.0,bottom
MX44,155.194,-134.112,0.0,bottom
MX45,131.3815,-134.112,0.0,bottom
MX46,107.569,-134.112,0.0,bottom
MX47,88.519,-134.112,0.0,bottom
MX48,69.469,-134.112,0.0,bottom
MX5,164.719,-57.912,0.0,bottom
MX6,145.669,-57.912,0.0,bottom
MX7,126.619,-57.912,0.0,bottom
MX8,107.569,-57.912,0.0,bottom
MX9,88.519,-57.912,0.0,bottom
SW1,210.439,-40.386,0.0,top
