Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D1,D_Small,D_SOD-123,46.9265,-48.817,90.0,bottom
D10,D_Small,D_SOD-123,218.3765,-48.817,90.0,bottom
D11,D_Small,D_SOD-123,51.689,-67.867,90.0,bottom
D12,D_Small,D_SOD-123,75.5015,-67.867,90.0,bottom
D13,D_Small,D_SOD-123,94.5515,-67.867,90.0,bottom
D14,D_Small,D_SOD-123,113.6015,-67.867,90.0,bottom
D15,D_Small,D_SOD-123,132.6515,-67.867,90.0,bottom
D16,D_Small,D_SOD-123,151.7015,-67.867,90.0,bottom
D17,D_Small,D_SOD-123,170.7515,-67.867,90.0,bottom
D18,D_Small,D_SOD-123,189.8015,-67.867,90.0,bottom
D19,D_Small,D_SOD-123,208.8515,-67.867,90.0,bottom
D2,D_Small,D_SOD-123,65.9765,-48.817,90.0,bottom
D20,D_Small,D_SOD-123,46.9265,-86.917,90.0,bottom
D21,D_Small,D_SOD-123,65.9765,-86.917,90.0,bottom
D22,D_Small,D_SOD-123,85.0265,-86.917,90.0,bottom
D23,D_Small,D_SOD-123,104.0765,-86.917,90.0,bottom
D24,D_Small,D_SOD-123,123.1265,-86.917,90.0,bottom
D25,D_Small,D_SOD-123,142.1765,-86.917,90.0,bottom
D26,D_Small,D_SOD-123,161.2265,-86.917,90.0,bottom
D27,D_Small,D_SOD-123,180.2765,-86.917,90.0,bottom
D28,D_Small,D_SOD-123,199.3265,-86.917,90.0,bottom
D29,D_Small,D_SOD-123,218.3765,-86.917,90.0,bottom
D3,D_Small,D_SOD-123,85.0265,-48.817,90.0,bottom
D30,D_Small,D_SOD-123,46.9265,-105.967,90.0,bottom
D31,D_Small,D_SOD-123,65.9765,-105.967,90.0,bottom
D32,D_Small,D_SOD-123,85.0265,-105.967,90.0,bottom
D33,D_Small,D_SOD-123,104.0765,-105.967,90.0,bottom
D34,D_Small,D_SOD-123,161.2265,-105.967,90.0,bottom
D4,D_Small,D_SOD-123,104.0765,-48.817,90.0,bottom
D5,D_Small,D_SOD-123,123.1265,-48.817,90.0,bottom
D6,D_Small,D_SOD-123,142.1765,-48.817,90.0,bottom
